COMID,majority,frac_1,frac_8,frac_9,frac_10,frac_11,frac_13,frac_15,frac_16,frac_17
71028585,8,0.377504825592041,0.466563254594803,0.155630812048912,0,0.000301128427963704,0,0,0,0
71028597,8,0.165775999426842,0.519514501094818,0.076818086206913,0.211912050843239,0.0259792823344469,0,0,0,0
71028609,8,0.263501465320587,0.451294720172882,0.00422677863389254,0.269794911146164,0,0,0,0.0111821135506034,0
71028676,10,0.223754540085793,0.350092083215714,0.0218796227127314,0.371458023786545,0.00157767802011222,0,0.000928830937482417,0.0303092841058969,0
71028700,1,0.589528560638428,0.291138827800751,0.0124180484563112,0.091808132827282,0.0151064526289701,0,0,0,0
71028740,1,0.437929838895798,0.283382654190063,0.0213440768420696,0.209326267242432,0.00345528335310519,0,0.00195880001410842,0.0426030978560448,0
71028852,8,0.346705406904221,0.376595556735992,0.0301028974354267,0.171839714050293,0.0190433394163847,0,0.00679632695391774,0.0489167720079422,0
71028904,1,0.454198777675629,0.362157940864563,0.027276236563921,0.0854033604264259,0.0302502457052469,0,0,0.0407133996486664,0
71028957,1,0.491839170455933,0.350287824869156,0.01745337061584,0.106705896556377,0.0294255819171667,0,0.000105539234937169,0.00418260134756565,0
71028974,8,0.302162826061249,0.381362289190292,0.00934118032455444,0.290876030921936,0.0162576511502266,0,0,0,0
71029016,8,0.171909049153328,0.609229505062103,0.032350230962038,0.0495705530047417,0.122511215507984,0.0144294891506433,0,0,0
71029022,8,0.201645091176033,0.798354923725128,0,0,0,0,0,0,0
71029071,1,0.493027448654175,0.377620011568069,0.0346112251281738,0.0552528873085976,0.033539529889822,0.00594890723004937,0,0,0
71029528,8,0.314154863357544,0.367792427539825,0.0851070657372475,0.166739448904991,0.005457051564008,0,0.00305533641949296,0.0569869056344032,0.000706945778802037
71029778,8,0.0229416713118553,0.301645070314407,0.14100044965744,0.280612498521805,0.00306235766038299,0,0,0.250556707382202,0.000181247713044286
71029798,1,0.717694401741028,0.202917203307152,0.00316034094430506,0.0762280449271202,0,0,0,0,0
71029857,8,0.0840844213962555,0.668391287326813,0.0587442480027676,0.178485989570618,0.0102940546348691,0,0,0,0
71029963,1,0.479080110788345,0.200425878167152,0.0251202192157507,0.295373797416687,0,0,0,0,0
71029992,8,0.122975222766399,0.371507257223129,0.105597734451294,0.311256766319275,0.0149026708677411,0.00247444002889097,0.00233481638133526,0.0689511001110077,0
71030026,8,0,1,0,0,0,0,0,0,0
71030071,8,0.205902248620987,0.42097744345665,0.0682030096650124,0.226904436945915,0,0,0,0.0780128911137581,0
71030100,10,0.222414061427116,0.317048937082291,0.0567852146923542,0.332145720720291,0,0,0,0.0716060474514961,0
71030270,10,0.0421149916946888,0.168367296457291,0.155479207634926,0.479666590690613,0.00747280428186059,0,0.000843924644868821,0.146055191755295,0
71030287,8,0.188861444592476,0.400551795959473,0.00484619196504354,0.380833923816681,0.0061690709553659,0,0.0029600509442389,0.0157774947583675,0
71030302,8,0.0776132792234421,0.530096709728241,0.0201782826334238,0.344267815351486,0.0278439465910196,0,0,0,0
71030418,10,0.0403549373149872,0.261592984199524,0.0331768468022346,0.60366815328598,0.00255937851034105,0,0.00159559783060104,0.0570520982146263,0
71030527,10,0.0252620317041874,0.366803973913193,0.0371417179703712,0.491471469402313,0,0,0.00584500841796398,0.0734758377075195,0
71030563,10,0.0469161868095398,0.269231855869293,0.0216764453798532,0.632961630821228,0,0,0.00197213049978018,0.0272417739033699,0
71030690,10,0.0664543136954308,0.344724506139755,0.0480535142123699,0.520559906959534,0.00740135461091995,0,0,0.0128063643351197,0
71030774,8,0.194086700677872,0.5237056016922,0.016776705160737,0.234044075012207,0,0,0,0.0313869416713715,0
71030784,8,0.174252569675446,0.393071740865707,0.0841033980250359,0.272503286600113,0.00901180133223534,0,0,0.0670572146773338,0
71030838,10,0.0496866069734097,0.277306020259857,0.0534568578004837,0.294309943914413,0.0099573815241456,0,0.021854292601347,0.293428897857666,0
71030896,10,0.00706366542726755,0.358192950487137,0.0576708167791367,0.539425075054169,0,0,0.00290505262091756,0.0347423814237118,0
71031094,10,0.218722745776176,0.296202898025513,0.00597112299874425,0.391183137893677,0,0,0,0.0879200771450996,0
71031120,8,0.262767672538757,0.331129461526871,0.045127771794796,0.199355840682983,0.0150053538382053,0,0.00954035390168428,0.137073531746864,0
71031296,10,0.151956796646118,0.246340095996857,0.0335930548608303,0.483136415481567,0.00890681054443121,0,0,0.0760668441653252,0
71031359,10,0.110295638442039,0.161137029528618,0.0234209727495909,0.343070775270462,0.00992624368518591,0,0.00678961910307407,0.341634482145309,0.00372519716620445
71031503,16,0.0646126940846443,0.166701272130013,0.0742732062935829,0.325432538986206,0,0,0.00393392657861114,0.365046322345734,0
71031506,10,0.083181343972683,0.214676350355148,0.0410018116235733,0.543700277805328,0,0,0.00864371657371521,0.108796499669552,0
71031643,16,0.0567017048597336,0.11821348965168,0.0336688868701458,0.300204515457153,0.0209095533937216,0,0.053340245038271,0.410812646150589,0.00614899070933461
71031654,10,0.206404775381088,0.141550585627556,0.0173142831772566,0.520186901092529,0.0196082480251789,0,0.00297620054334402,0.0919590890407562,0
71031687,10,0.00247860001400113,0.0688525959849358,0,0.658270359039307,0,0,0.00152605934999883,0.26887235045433,0
